1/29/2026,6969.01,1/20/2026,602.8
1/30/2026,6939.03,1/21/2026,602.67
2/2/2026,6976.44,1/22/2026,608.86
2/3/2026,6917.81,1/23/2026,608.34
2/4/2026,6882.72,1/26/2026,609.57
2/5/2026,6798.4,1/27/2026,613.11
2/6/2026,6932.3,1/28/2026,608.51
2/9/2026,6964.82,1/29/2026,607.14
2/10/2026,6941.81,1/30/2026,611
2/11/2026,6941.47,2/2/2026,617.31
2/12/2026,6832.76,2/3/2026,617.93
2/13/2026,6836.17,2/4/2026,618.12
,,2/5/2026,611.65
,,2/6/2026,617.12
,,2/9/2026,621.41
,,2/10/2026,620.97
,,2/11/2026,621.58
,,2/12/2026,618.52
,,2/13/2026,617.7
