46045,US Note 10 Year,US10Y,yield,4.2311,0
46045,US Note 20 Year,US20Y,yield,4.7937,0
46045,US Note 30 Year,US30Y,yield,4.8294,0
46045,ICE BofA Global Corporate,IG,spread,74,0
46045,High Quality,AA,spread,45,0
46045,Low Investment Grade,BBB,spread,94,0
46045,ICE BofA US High Yield,HY,spread,268,0
46045,Speculative,BB,spread,161,0
46045,Distressed,CCC,spread,849,0
46045,ZQ Future 1,Jan ZQ26,future,96.36,1
46045,ZQ Future 2,Feb ZQ26,future,96.37,2
46045,ZQ Future 3,Mar ZQ26,future,96.385,3
46045,ZQ Future 4,Apr ZQ26,future,96.4,4
46045,ZQ Future 5,May ZQ26,future,96.44,5
46045,ZQ Future 6,Jun ZQ26,future,96.49,6
46045,ZQ Future 7,Jul ZQ26,future,96.555,7
46045,ZQ Future 8,Aug ZQ26,future,96.615,8
46045,ZQ Future 9,Sep ZQ26,future,96.655,9
46045,ZQ Future 10,Oct ZQ26,future,96.71,10
46045,ZQ Future 11,Nov ZQ26,future,96.75,11
46045,ZQ Future 12,Dec ZQ26,future,96.785,12
46045,DE 10 Year Bund,DE10Y,yield,2.895,0
46045,UK 10 Year Gilt,UK10Y,yield,4.497,0
46052,US Bill 1 Month,US1M,rate,3.6806,0
46052,US Bill 2 Month,US2M,rate,3.6757,0
46052,US Bill 3 Month,US3M,rate,3.6562,0
46052,US Bill 4 Month,US4M,rate,3.6732,0
46052,US Bill 6 Month,US6M,rate,3.6321,0
46052,US Bill 1 Year,US1Y,rate,3.35,0
46052,US Note 2 Year,US2Y,yield,3.5326,0
46052,US Note 3 Year,US3Y,yield,3.6022,0
46052,US Note 5 Year,US5Y,yield,3.8063,0
46052,US Note 7 Year,US7Y,yield,4.0278,0
46052,US Note 10 Year,US10Y,yield,4.2559,0
46052,US Note 20 Year,US20Y,yield,4.8389,0
46052,US Note 30 Year,US30Y,yield,4.8885,0
46052,ICE BofA Global Corporate,IG,spread,74,0
46052,High Quality,AA,spread,45,0
46052,Low Investment Grade,BBB,spread,94,0
46052,ICE BofA US High Yield,HY,spread,280,0
46052,Speculative,BB,spread,171,0
46052,Distressed,CCC,spread,855,0
46052,ZQ Future 1,Jan ZQ26,future,96.36,1
46052,ZQ Future 2,Feb ZQ26,future,96.365,2
46052,ZQ Future 3,Mar ZQ26,future,96.38,3
46052,ZQ Future 4,Apr ZQ26,future,96.4,4
46052,ZQ Future 5,May ZQ26,future,96.445,5
46052,ZQ Future 6,Jun ZQ26,future,96.505,6
46052,ZQ Future 7,Jul ZQ26,future,96.585,7
46052,ZQ Future 8,Aug ZQ26,future,96.67,8
46052,ZQ Future 9,Sep ZQ26,future,96.72,9
46052,ZQ Future 10,Oct ZQ26,future,96.785,10
46052,ZQ Future 11,Nov ZQ26,future,96.84,11
46052,ZQ Future 12,Dec ZQ26,future,96.88,12
46052,DE 10 Year Bund,DE10Y,yield,2.846,0
46052,UK 10 Year Gilt,UK10Y,yield,4.507,0
46059,US Bill 1 Month,US1M,rate,3.6755,0
46059,US Bill 2 Month,US2M,rate,3.6859,0
46059,US Bill 3 Month,US3M,rate,3.6717,0
46059,US Bill 4 Month,US4M,rate,3.6784,0
46059,US Bill 6 Month,US6M,rate,3.6164,0
46059,US Bill 1 Year,US1Y,rate,3.315,0
46059,US Note 2 Year,US2Y,yield,3.4955,0
46059,US Note 3 Year,US3Y,yield,3.563,0
46059,US Note 5 Year,US5Y,yield,3.7537,0
46059,US Note 7 Year,US7Y,yield,3.9701,0
46059,US Note 10 Year,US10Y,yield,4.203,0
46059,US Note 20 Year,US20Y,yield,4.7914,0
46059,US Note 30 Year,US30Y,yield,4.85,0
46059,ICE BofA Global Corporate,IG,spread,75,0
46059,High Quality,AA,spread,48,0
46059,Low Investment Grade,BBB,spread,96,0
46059,ICE BofA US High Yield,HY,spread,287,0
46059,Speculative,BB,spread,171,0
46059,Distressed,CCC,spread,892,0
46059,ZQ Future 1,Feb ZQ26,future,96.3625,1
46059,ZQ Future 2,Mar ZQ26,future,96.385,2
46059,ZQ Future 3,Apr ZQ26,future,96.41,3
46059,ZQ Future 4,May ZQ26,future,96.455,4
46059,ZQ Future 5,Jun ZQ26,future,96.52,5
46059,ZQ Future 6,Jul ZQ26,future,96.605,6
46059,ZQ Future 7,Aug ZQ26,future,96.69,7
46059,ZQ Future 8,Sep ZQ26,future,96.74,8
46059,ZQ Future 9,Oct ZQ26,future,96.81,9
46059,ZQ Future 10,Nov ZQ26,future,96.86,10
46059,ZQ Future 11,Dec ZQ26,future,96.9,11
46059,ZQ Future 12,Jan ZQ27,future,96.915,12
46059,DE 10 Year Bund,DE10Y,yield,2.841,0
46059,UK 10 Year Gilt,UK10Y,yield,4.528,0
46066,ICE BofA Global Corporate,IG,spread,78,0
46066,High Quality,AA,spread,50,0
46066,Low Investment Grade,BBB,spread,100,0
46066,ICE BofA US High Yield,HY,spread,295,0
46066,Speculative,BB,spread,178,0
46066,Distressed,CCC,spread,906,0
46066,ZQ Future 1,Feb ZQ26,future,96.36,1
46066,ZQ Future 2,Mar ZQ26,future,96.37,2
46066,ZQ Future 3,Apr ZQ26,future,96.385,3
46066,ZQ Future 4,May ZQ26,future,96.44,4
46066,ZQ Future 5,Jun ZQ26,future,96.5,5
46066,ZQ Future 6,Jul ZQ26,future,96.585,6
46066,ZQ Future 7,Aug ZQ26,future,96.685,7
46066,ZQ Future 8,Sep ZQ26,future,96.75,8
46066,ZQ Future 9,Oct ZQ26,future,96.835,9
46066,ZQ Future 10,Nov ZQ26,future,96.915,10
46066,ZQ Future 11,Dec ZQ26,future,96.975,11
46066,ZQ Future 12,Jan ZQ27,future,97,12
46066,DE 10 Year Bund,DE10Y,yield,2.753,0
46066,UK 10 Year Gilt,UK10Y,yield,4.416,0
46066,Effective Rate,EFFR,rate,3.64,0
46073,ICE BofA Global Corporate,IG,spread,78,0
46073,High Quality,AA,spread,48,0
46073,Low Investment Grade,BBB,spread,99,0
46073,ICE BofA US High Yield,HY,spread,286,0
46073,Speculative,BB,spread,170,0
46073,Distressed,CCC,spread,887,0
46073,ZQ Future 1,Feb ZQ26,future,96.36000061,1
46073,ZQ Future 2,Mar ZQ26,future,96.36499786,2
46073,ZQ Future 3,Apr ZQ26,future,96.375,3
46073,ZQ Future 4,May ZQ26,future,96.40499878,4
46073,ZQ Future 5,Jun ZQ26,future,96.44499969,5
46073,ZQ Future 6,Jul ZQ26,future,96.51499939,6
46073,ZQ Future 7,Aug ZQ26,future,96.59999847,7
46073,ZQ Future 8,Sep ZQ26,future,96.66500092,8
46073,ZQ Future 9,Oct ZQ26,future,96.74500275,9
46073,ZQ Future 10,Nov ZQ26,future,96.81999969,10
46073,ZQ Future 11,Dec ZQ26,future,96.88999939,11
46073,ZQ Future 12,Jan ZQ27,future,96.91999817,12
46073,DE 10 Year Bund,DE10Y,yield,2.739,0
46073,UK 10 Year Gilt,UK10Y,yield,4.354,0
46073,Effective Rate,EFFR,rate,3.64,0
46080,ICE BofA Global Corporate,IG,spread,84,0
46080,High Quality,AA,spread,54,0
46080,Low Investment Grade,BBB,spread,107,0
46080,ICE BofA US High Yield,HY,spread,310,0
46080,Speculative,BB,spread,189,0
46080,Distressed,CCC,spread,950,0
46080,ZQ Future 1,Feb ZQ26,future,96.36,1
46080,ZQ Future 2,Mar ZQ26,future,96.37,2
46080,ZQ Future 3,Apr ZQ26,future,96.38,3
46080,ZQ Future 4,May ZQ26,future,96.425,4
46080,ZQ Future 5,Jun ZQ26,future,96.47,5
46080,ZQ Future 6,Jul ZQ26,future,96.54,6
46080,ZQ Future 7,Aug ZQ26,future,96.635,7
46080,ZQ Future 8,Sep ZQ26,future,96.7,8
46080,ZQ Future 9,Oct ZQ26,future,96.785,9
46080,ZQ Future 10,Nov ZQ26,future,96.87,10
46080,ZQ Future 11,Dec ZQ26,future,96.95,11
46080,ZQ Future 12,Jan ZQ27,future,96.985,12
46080,DE 10 Year Bund,DE10Y,yield,2.674,0
46080,UK 10 Year Gilt,UK10Y,yield,4.248,0
46080,Effective Rate,EFFR,rate,3.64,0
46087,ICE BofA Global Corporate,IG,spread,84,0
46087,High Quality,AA,spread,53,0
46087,Low Investment Grade,BBB,spread,106,0
46087,ICE BofA US High Yield,HY,spread,313,0
46087,Speculative,BB,spread,191,0
46087,Distressed,CCC,spread,959,0
46087,ZQ Future 1,Mar ZQ26,future,96.36000061,1
46087,ZQ Future 2,Apr ZQ26,future,96.37000275,2
46087,ZQ Future 3,May ZQ26,future,96.41000366,3
46087,ZQ Future 4,Jun ZQ26,future,96.44499969,4
46087,ZQ Future 5,Jul ZQ26,future,96.5,5
46087,ZQ Future 6,Aug ZQ26,future,96.56999969,6
46087,ZQ Future 7,Sep ZQ26,future,96.61000061,7
46087,ZQ Future 8,Oct ZQ26,future,96.66999817,8
46087,ZQ Future 9,Nov ZQ26,future,96.72000122,9
46087,ZQ Future 10,Dec ZQ26,future,96.76999664,10
46087,ZQ Future 11,Jan ZQ27,future,96.79499817,11
46087,ZQ Future 12,Feb ZQ27,future,96.80500031,12
46087,DE 10 Year Bund,DE10Y,yield,2.857,0
46087,UK 10 Year Gilt,UK10Y,yield,4.608,0
46087,Effective Rate,EFFR,rate,3.64,0
46094,ICE BofA Global Corporate,IG,spread,92,0
46094,High Quality,AA,spread,60,0
46094,Low Investment Grade,BBB,spread,115,0
46094,ICE BofA US High Yield,HY,spread,328,0
46094,Speculative,BB,spread,206,0
46094,Distressed,CCC,spread,978,0
46094,ZQ Future 1,Mar ZQ26,future,96.36000061,1
46094,ZQ Future 2,Apr ZQ26,future,96.36000061,2
46094,ZQ Future 3,May ZQ26,future,96.375,3
46094,ZQ Future 4,Jun ZQ26,future,96.39499664,4
46094,ZQ Future 5,Jul ZQ26,future,96.43000031,5
46094,ZQ Future 6,Aug ZQ26,future,96.47499847,6
46094,ZQ Future 7,Sep ZQ26,future,96.49500275,7
46094,ZQ Future 8,Oct ZQ26,future,96.51499939,8
46094,ZQ Future 9,Nov ZQ26,future,96.54000092,9
46094,ZQ Future 10,Dec ZQ26,future,96.58499908,10
46094,ZQ Future 11,Jan ZQ27,future,96.59999847,11
46094,ZQ Future 12,Feb ZQ27,future,96.60500336,12
46094,DE 10 Year Bund,DE10Y,yield,2.962,0
46094,UK 10 Year Gilt,UK10Y,yield,4.737,0
46094,Effective Rate,EFFR,rate,3.64,0
46101,ICE BofA Global Corporate,IG,spread,89,0
46101,High Quality,AA,spread,55,0
46101,Low Investment Grade,BBB,spread,111,0
46101,ICE BofA US High Yield,HY,spread,324,0
46101,Speculative,BB,spread,200,0
46101,Distressed,CCC,spread,979,0
46101,ZQ Future 1,Mar ZQ26,future,96.36000061,1
46101,ZQ Future 2,Apr ZQ26,future,96.34500122,2
46101,ZQ Future 3,May ZQ26,future,96.31500244,3
46101,ZQ Future 4,Jun ZQ26,future,96.30500031,4
46101,ZQ Future 5,Jul ZQ26,future,96.29499817,5
46101,ZQ Future 6,Aug ZQ26,future,96.29499817,6
46101,ZQ Future 7,Sep ZQ26,future,96.27999878,7
46101,ZQ Future 8,Oct ZQ26,future,96.26999664,8
46101,ZQ Future 9,Nov ZQ26,future,96.25499725,9
46101,ZQ Future 10,Dec ZQ26,future,96.26999664,10
46101,ZQ Future 11,Jan ZQ27,future,96.27999878,11
46101,ZQ Future 12,Feb ZQ27,future,96.27500153,12
46101,DE 10 Year Bund,DE10Y,yield,3.04,0
46101,UK 10 Year Gilt,UK10Y,yield,4.951,0
46101,Effective Rate,EFFR,rate,3.64,0
46108,ICE BofA Global Corporate,IG,spread,92,0
46108,High Quality,AA,spread,57,0
46108,Low Investment Grade,BBB,spread,114,0
46108,ICE BofA US High Yield,HY,spread,342,0
46108,Speculative,BB,spread,218,0
46108,Distressed,CCC,spread,1013,0
46108,ZQ Future 1,Mar ZQ26,future,96.36000061,1
46108,ZQ Future 2,Apr ZQ26,future,96.35500336,2
46108,ZQ Future 3,May ZQ26,future,96.34999847,3
46108,ZQ Future 4,Jun ZQ26,future,96.34999847,4
46108,ZQ Future 5,Jul ZQ26,future,96.33999634,5
46108,ZQ Future 6,Aug ZQ26,future,96.33499908,6
46108,ZQ Future 7,Sep ZQ26,future,96.31999969,7
46108,ZQ Future 8,Oct ZQ26,future,96.30000305,8
46108,ZQ Future 9,Nov ZQ26,future,96.28500366,9
46108,ZQ Future 10,Dec ZQ26,future,96.29499817,10
46108,ZQ Future 11,Jan ZQ27,future,96.29499817,11
46108,ZQ Future 12,Feb ZQ27,future,96.30000305,12
46108,DE 10 Year Bund,DE10Y,yield,3.1,0
46108,UK 10 Year Gilt,UK10Y,yield,4.918,0
46108,Effective Rate,EFFR,rate,3.64,0
46115,ICE BofA Global Corporate,IG,spread,88,0
46115,High Quality,AA,spread,53,0
46115,Low Investment Grade,BBB,spread,109,0
46115,ICE BofA US High Yield,HY,spread,313,0
46115,Speculative,BB,spread,194,0
46115,Distressed,CCC,spread,989,0
46115,ZQ Future 1,Apr ZQ26,future,96.36,1
46115,ZQ Future 2,May ZQ26,future,96.36,2
46115,ZQ Future 3,Jun ZQ26,future,96.365,3
46115,ZQ Future 4,Jul ZQ26,future,96.375,4
46115,ZQ Future 5,Aug ZQ26,future,96.385,5
46115,ZQ Future 6,Sep ZQ26,future,96.385,6
46115,ZQ Future 7,Oct ZQ26,future,96.385,7
46115,ZQ Future 8,Nov ZQ26,future,96.39,8
46115,ZQ Future 9,Dec ZQ26,future,96.415,9
46115,ZQ Future 10,Jan ZQ27,future,96.425,10
46115,ZQ Future 11,Feb ZQ27,future,96.435,11
46115,ZQ Future 12,Mar ZQ27,future,96.44,12
46115,ZQ Future 13,Apr ZQ27,future,96.445,13
46115,DE 10 Year Bund,DE10Y,yield,3.004,0
46115,UK 10 Year Gilt,UK10Y,yield,4.76,0
46115,Effective Rate,EFFR,rate,3.64,0
46122,ICE BofA Global Corporate,IG,spread,83,0
46122,High Quality,AA,spread,50,0
46122,Low Investment Grade,BBB,spread,104,0
46122,ICE BofA US High Yield,HY,spread,294,0
46122,Speculative,BB,spread,177,0
46122,Distressed,CCC,spread,954,0
46122,ZQ Future 1,Apr ZQ26,future,96.36000061,1
46122,ZQ Future 2,May ZQ26,future,96.36000061,2
46122,ZQ Future 3,Jun ZQ26,future,96.36000061,3
46122,ZQ Future 4,Jul ZQ26,future,96.36499786,4
46122,ZQ Future 5,Aug ZQ26,future,96.37000275,5
46122,ZQ Future 6,Sep ZQ26,future,96.375,6
46122,ZQ Future 7,Oct ZQ26,future,96.37999725,7
46122,ZQ Future 8,Nov ZQ26,future,96.38500214,8
46122,ZQ Future 9,Dec ZQ26,future,96.41500092,9
